created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Tue Feb 28 15:03:59 +0000 2023,1630584604225593344,‼️ The Katie Taylor vs Amanda Serrano rematch is now POSTPONED and won't take place on May 20th as Serrano has pulled out due to injury.,33,68,98,1051,en,633956395,1630584604225593344,MichaelBensonn,https://twitter.com/MichaelBensonn/status/1630584604225593344,
Tue Feb 28 14:57:34 +0000 2023,1630582990165397507,"Marjorie Taylor Greene was confronted in a restaurant and she’s big mad. If Marge wasn’t a psycho racist b*tch, people wouldn’t yell at her in public. Just saying.",24,166,276,2500,en,1323090408730062849,1630582990165397507,MayoIsSpicyy,https://twitter.com/MayoIsSpicyy/status/1630582990165397507,
Tue Feb 28 14:55:17 +0000 2023,1630582418007621632,"Under her national divorce plan, Marjorie Taylor Greene proposed defunding and privatizing Amtrak and abolishing the Department of Education and the Department of Transportation. https://t.co/24qaReolr2",46,480,162,644,en,978265628426432512,1630582418007621632,patriottakes,https://twitter.com/patriottakes/status/1630582418007621632,
Tue Feb 28 14:53:18 +0000 2023,1630581919388688387,"Trust me — I NEVER followed Marjorie Taylor Greene. Yet, I just noticed this. How the hell did this happen, @elonmusk?? 🤨 https://t.co/kx8oI0tesa",119,2001,758,9345,en,27493883,1630581919388688387,joncoopertweets,https://twitter.com/joncoopertweets/status/1630581919388688387,elonmusk
Tue Feb 28 14:48:23 +0000 2023,1630580681553346560,Marjorie Taylor Greene is losing her shit cuz she was confronted in a public restaurant. But I guess that’s different from calling a kid who went through a school shooting a “crisis actor” huh? 🙄 https://t.co/FUB9MNyXKq,26,53,196,699,en,124234862,1630580681553346560,other98,https://twitter.com/other98/status/1630580681553346560,
Tue Feb 28 14:47:51 +0000 2023,1630580543992610818,"Marjorie Taylor Greene is upset because a woman yelled at her in a restaurant.  Let's recall that besides screaming at the State of the Union address, harassing David Hogg and destroying AOC's property, she also apparently physically harmed an activist by kicking her because she… https://t.co/Lz3xE7PNrc",129,1017,2955,19527,en,132339474,1630580543992610818,EdKrassen,https://twitter.com/EdKrassen/status/1630580543992610818,
Tue Feb 28 14:19:02 +0000 2023,1630573295463432193,"Marjorie Taylor Green:  I was attacked at a restaurant tonight by an insane woman and screamed at... People used to respect others even if they had different views""  Respect? Like:  - Screeching and yelling at Biden's State of the Union Address - Claiming the Parkland school…""",427,2640,7349,44239,en,133938408,1630573295463432193,krassenstein,https://twitter.com/krassenstein/status/1630573295463432193,
Tue Feb 28 14:07:57 +0000 2023,1630570505693728768,"Elizabeth Taylor in Suddenly, Last Summer (Joseph L. Mankiewicz, 1959) https://t.co/X5yg4fHfp7",5,2,52,352,en,1374127912903790592,1630570505693728768,taylor_domain,https://twitter.com/taylor_domain/status/1630570505693728768,
Tue Feb 28 14:07:48 +0000 2023,1630570466556489728,Isn’t it strange that in the age of smartphones  Perpetual victim   Marjorie Taylor Greene  hasn’t posted a video of the vicious attack she barely survived last night in a D.C. restaurant?,3,31,32,254,en,3095991935,1630570466556489728,wcbuecker,https://twitter.com/wcbuecker/status/1630570466556489728,
Tue Feb 28 14:05:51 +0000 2023,1630569974287958016,"📈 Taylor Swift is charting 10 albums simultaneously on Billboard 200 this week, for the first time in her career.  #3. Midnights #28. folklore #41. Lover #50. 1989 #56. Red TV #58. Lover: Live from Paris #100. reputation #103. evermore #172. Fearless TV #192. Speak Now https://t.co/SA9udceNhR",5,7,85,827,en,977144754407272448,1630569974287958016,TSwiftFTC,https://twitter.com/TSwiftFTC/status/1630569974287958016,
Tue Feb 28 13:56:46 +0000 2023,1630567688555708422,"swifties won't know peace until they're at the eras tour and Taylor starts singing fever dream high in the quiet of the night...""""",31,8,242,2995,en,387406210,1630567688555708422,sIeeepyeyes,https://twitter.com/sIeeepyeyes/status/1630567688555708422,
Tue Feb 28 13:37:33 +0000 2023,1630562855371280384,"✨⭐️💫ERAS TOUR GIVEAWAY COUNTDOWN WEEK TWO CHAOTIC MINI PRIZE💫⭐️✨  SEALED SPEAK NOW DELUXE CD!  WINNER SELECTED 3/5!  TO ENTER: ✨ RT THIS ✨ COMMENT YOUR FAVE TAYLOR MEME  💫OPEN INTERNATIONALLY💫 (sorry for the delay, I did say chaotic) https://t.co/J4waPHGI8a",4,568,596,616,en,1081000189320663041,1630562855371280384,realf_inlegacy,https://twitter.com/realf_inlegacy/status/1630562855371280384,
Tue Feb 28 13:33:37 +0000 2023,1630561866391986176,"Marge Greene:  People used to respect others even if they had different views. But not anymore""  This the same lady who indicated support for executing prominent Dems.   Marjorie Taylor Greene says she was 'attacked' by an 'insane' woman in a restaurant. https://t.co/xIsgKubVve""",18,139,106,556,en,2768271223,1630561866391986176,covie_93,https://twitter.com/covie_93/status/1630561866391986176,
Tue Feb 28 13:17:44 +0000 2023,1630557865617367043,taylor swift / this is me trying https://t.co/m2ZE9Vncp5,265,8,6814,20843,en,1264992884316610562,1630557865617367043,thesadbaby,https://twitter.com/thesadbaby/status/1630557865617367043,
Tue Feb 28 13:15:43 +0000 2023,1630557358379204609,Somebody yelled at Marjorie Taylor Greene in a restaurant and I think it was a cryptozoologist.,0,21,30,481,en,1413628042698797059,1630557358379204609,theliamnissan,https://twitter.com/theliamnissan/status/1630557358379204609,
Tue Feb 28 13:09:36 +0000 2023,1630555818494947329,Marjorie Taylor Greene Votes Against Mourning Victims Of Turkey-Syria Earthquakes https://t.co/5qCwtXOShB,34,217,211,540,en,55060090,1630555818494947329,realTuckFrumper,https://twitter.com/realTuckFrumper/status/1630555818494947329,
